date,mortgage_rate,unemployment_rate,hpi_index,hpi_yoy,source_timestamp
1992-01-01,8.432000,7.300000,102.200000,0.022000,2026-02-16T06:21:18.863903+00:00
1992-02-01,8.762500,7.400000,102.940000,0.025299,2026-02-16T06:21:18.863903+00:00
1992-03-01,8.935000,7.400000,102.790000,0.023193,2026-02-16T06:21:18.863903+00:00
1992-04-01,8.852500,7.400000,102.510000,0.022034,2026-02-16T06:21:18.863903+00:00
1992-05-01,8.672000,7.600000,102.540000,0.021925,2026-02-16T06:21:18.863903+00:00
1992-06-01,8.510000,7.800000,102.470000,0.019805,2026-02-16T06:21:18.863903+00:00
1992-07-01,8.128000,7.700000,102.830000,0.023184,2026-02-16T06:21:18.863903+00:00
1992-08-01,7.975000,7.600000,103.260000,0.029204,2026-02-16T06:21:18.863903+00:00
1992-09-01,7.922500,7.600000,103.660000,0.030520,2026-02-16T06:21:18.863903+00:00
1992-10-01,8.088000,7.300000,103.970000,0.030733,2026-02-16T06:21:18.863903+00:00
1992-11-01,8.305000,7.400000,104.230000,0.028416,2026-02-16T06:21:18.863903+00:00
1992-12-01,8.206000,7.400000,104.150000,0.022783,2026-02-16T06:21:18.863903+00:00
1993-01-01,7.992500,7.300000,104.220000,0.019765,2026-02-16T06:21:18.863903+00:00
1993-02-01,7.682500,7.100000,104.010000,0.010394,2026-02-16T06:21:18.863903+00:00
1993-03-01,7.495000,7.000000,104.310000,0.014787,2026-02-16T06:21:18.863903+00:00
1993-04-01,7.472000,7.100000,104.970000,0.023998,2026-02-16T06:21:18.863903+00:00
1993-05-01,7.465000,7.100000,105.200000,0.025941,2026-02-16T06:21:18.863903+00:00
1993-06-01,7.417500,7.000000,105.560000,0.030155,2026-02-16T06:21:18.863903+00:00
1993-07-01,7.206000,6.900000,105.620000,0.027132,2026-02-16T06:21:18.863903+00:00
1993-08-01,7.112500,6.800000,106.020000,0.026729,2026-02-16T06:21:18.863903+00:00
1993-09-01,6.915000,6.700000,106.400000,0.026433,2026-02-16T06:21:18.863903+00:00
1993-10-01,6.834000,6.800000,106.620000,0.025488,2026-02-16T06:21:18.863903+00:00
1993-11-01,7.155000,6.600000,106.940000,0.026000,2026-02-16T06:21:18.863903+00:00
1993-12-01,7.172000,6.500000,107.470000,0.031877,2026-02-16T06:21:18.863903+00:00
1994-01-01,7.060000,6.600000,107.750000,0.033871,2026-02-16T06:21:18.863903+00:00
1994-02-01,7.152500,6.600000,107.930000,0.037689,2026-02-16T06:21:18.863903+00:00
1994-03-01,7.675000,6.500000,108.310000,0.038347,2026-02-16T06:21:18.863903+00:00
1994-04-01,8.316000,6.400000,108.600000,0.034581,2026-02-16T06:21:18.863903+00:00
1994-05-01,8.597500,6.100000,108.990000,0.036027,2026-02-16T06:21:18.863903+00:00
1994-06-01,8.397500,6.100000,109.170000,0.034199,2026-02-16T06:21:18.863903+00:00
1994-07-01,8.614000,6.100000,109.300000,0.034842,2026-02-16T06:21:18.863903+00:00
1994-08-01,8.512500,6.000000,109.600000,0.033767,2026-02-16T06:21:18.863903+00:00
1994-09-01,8.640000,5.900000,109.640000,0.030451,2026-02-16T06:21:18.863903+00:00
1994-10-01,8.925000,5.800000,109.900000,0.030763,2026-02-16T06:21:18.863903+00:00
1994-11-01,9.170000,5.600000,110.110000,0.029643,2026-02-16T06:21:18.863903+00:00
1994-12-01,9.198000,5.500000,110.130000,0.024751,2026-02-16T06:21:18.863903+00:00
1995-01-01,9.147500,5.600000,110.440000,0.024965,2026-02-16T06:21:18.863903+00:00
1995-02-01,8.827500,5.400000,111.040000,0.028815,2026-02-16T06:21:18.863903+00:00
1995-03-01,8.462000,5.400000,110.870000,0.023636,2026-02-16T06:21:18.863903+00:00
1995-04-01,8.320000,5.800000,111.160000,0.023573,2026-02-16T06:21:18.863903+00:00
1995-05-01,7.955000,5.600000,111.300000,0.021195,2026-02-16T06:21:18.863903+00:00
1995-06-01,7.566000,5.600000,111.670000,0.022900,2026-02-16T06:21:18.863903+00:00
1995-07-01,7.607500,5.700000,112.180000,0.026349,2026-02-16T06:21:18.863903+00:00
1995-08-01,7.860000,5.700000,112.480000,0.026277,2026-02-16T06:21:18.863903+00:00
1995-09-01,7.636000,5.600000,112.700000,0.027910,2026-02-16T06:21:18.863903+00:00
1995-10-01,7.475000,5.500000,112.780000,0.026206,2026-02-16T06:21:18.863903+00:00
1995-11-01,7.377500,5.600000,113.000000,0.026246,2026-02-16T06:21:18.863903+00:00
1995-12-01,7.200000,5.600000,113.470000,0.030328,2026-02-16T06:21:18.863903+00:00
1996-01-01,7.030000,5.600000,113.900000,0.031329,2026-02-16T06:21:18.863903+00:00
1996-02-01,7.075000,5.500000,114.050000,0.027107,2026-02-16T06:21:18.863903+00:00
1996-03-01,7.624000,5.500000,114.470000,0.032470,2026-02-16T06:21:18.863903+00:00
1996-04-01,7.925000,5.600000,114.710000,0.031936,2026-02-16T06:21:18.863903+00:00
1996-05-01,8.070000,5.600000,114.960000,0.032884,2026-02-16T06:21:18.863903+00:00
1996-06-01,8.320000,5.300000,115.080000,0.030536,2026-02-16T06:21:18.863903+00:00
1996-07-01,8.245000,5.500000,115.470000,0.029328,2026-02-16T06:21:18.863903+00:00
1996-08-01,8.002000,5.100000,115.490000,0.026760,2026-02-16T06:21:18.863903+00:00
1996-09-01,8.230000,5.200000,115.780000,0.027329,2026-02-16T06:21:18.863903+00:00
1996-10-01,7.915000,5.200000,115.880000,0.027487,2026-02-16T06:21:18.863903+00:00
1996-11-01,7.618000,5.400000,116.190000,0.028230,2026-02-16T06:21:18.863903+00:00
1996-12-01,7.597500,5.400000,116.590000,0.027496,2026-02-16T06:21:18.863903+00:00
1997-01-01,7.824000,5.300000,116.730000,0.024846,2026-02-16T06:21:18.863903+00:00
1997-02-01,7.650000,5.200000,117.010000,0.025954,2026-02-16T06:21:18.863903+00:00
1997-03-01,7.897500,5.200000,117.440000,0.025946,2026-02-16T06:21:18.863903+00:00
1997-04-01,8.142500,5.100000,117.670000,0.025804,2026-02-16T06:21:18.863903+00:00
1997-05-01,7.944000,4.900000,118.130000,0.027575,2026-02-16T06:21:18.863903+00:00
1997-06-01,7.690000,5.000000,118.180000,0.026938,2026-02-16T06:21:18.863903+00:00
1997-07-01,7.497500,4.900000,118.470000,0.025981,2026-02-16T06:21:18.863903+00:00
1997-08-01,7.480000,4.800000,118.960000,0.030046,2026-02-16T06:21:18.863903+00:00
1997-09-01,7.430000,4.900000,119.110000,0.028761,2026-02-16T06:21:18.863903+00:00
1997-10-01,7.294000,4.700000,119.700000,0.032965,2026-02-16T06:21:18.863903+00:00
1997-11-01,7.205000,4.600000,120.060000,0.033308,2026-02-16T06:21:18.863903+00:00
1997-12-01,7.095000,4.700000,120.470000,0.033279,2026-02-16T06:21:18.863903+00:00
1998-01-01,6.994000,4.600000,120.930000,0.035980,2026-02-16T06:21:18.863903+00:00
1998-02-01,7.042500,4.600000,121.810000,0.041022,2026-02-16T06:21:18.863903+00:00
1998-03-01,7.127500,4.700000,122.180000,0.040361,2026-02-16T06:21:18.863903+00:00
1998-04-01,7.140000,4.300000,122.720000,0.042917,2026-02-16T06:21:18.863903+00:00
1998-05-01,7.144000,4.400000,123.230000,0.043173,2026-02-16T06:21:18.863903+00:00
1998-06-01,6.997500,4.500000,123.990000,0.049162,2026-02-16T06:21:18.863903+00:00
1998-07-01,6.952000,4.500000,124.340000,0.049548,2026-02-16T06:21:18.863903+00:00
1998-08-01,6.922500,4.500000,124.860000,0.049597,2026-02-16T06:21:18.863903+00:00
1998-09-01,6.722500,4.600000,125.660000,0.054991,2026-02-16T06:21:18.863903+00:00
1998-10-01,6.710000,4.500000,126.190000,0.054219,2026-02-16T06:21:18.863903+00:00
1998-11-01,6.865000,4.400000,127.020000,0.057971,2026-02-16T06:21:18.863903+00:00
1998-12-01,6.738000,4.400000,127.590000,0.059102,2026-02-16T06:21:18.863903+00:00
1999-01-01,6.785000,4.300000,128.290000,0.060862,2026-02-16T06:21:18.863903+00:00
1999-02-01,6.807500,4.400000,128.850000,0.057795,2026-02-16T06:21:18.863903+00:00
1999-03-01,7.040000,4.200000,129.400000,0.059093,2026-02-16T06:21:18.863903+00:00
1999-04-01,6.916000,4.300000,130.020000,0.059485,2026-02-16T06:21:18.863903+00:00
1999-05-01,7.145000,4.200000,130.790000,0.061349,2026-02-16T06:21:18.863903+00:00
1999-06-01,7.550000,4.300000,131.370000,0.059521,2026-02-16T06:21:18.863903+00:00
1999-07-01,7.632000,4.300000,132.120000,0.062570,2026-02-16T06:21:18.863903+00:00
1999-08-01,7.942500,4.200000,132.940000,0.064712,2026-02-16T06:21:18.863903+00:00
1999-09-01,7.822500,4.200000,133.330000,0.061038,2026-02-16T06:21:18.863903+00:00
1999-10-01,7.852000,4.100000,134.100000,0.062683,2026-02-16T06:21:18.863903+00:00
1999-11-01,7.737500,4.100000,134.650000,0.060069,2026-02-16T06:21:18.863903+00:00
1999-12-01,7.912000,4.000000,135.320000,0.060585,2026-02-16T06:21:18.863903+00:00
2000-01-01,8.210000,4.000000,136.900000,0.067114,2026-02-16T06:21:18.863903+00:00
2000-02-01,8.325000,4.100000,136.760000,0.061389,2026-02-16T06:21:18.863903+00:00
2000-03-01,8.240000,4.000000,137.780000,0.064760,2026-02-16T06:21:18.863903+00:00
2000-04-01,8.152500,3.800000,138.740000,0.067067,2026-02-16T06:21:18.863903+00:00
2000-05-01,8.515000,4.000000,139.290000,0.064990,2026-02-16T06:21:18.863903+00:00
2000-06-01,8.288000,4.000000,140.240000,0.067519,2026-02-16T06:21:18.863903+00:00
2000-07-01,8.147500,4.000000,140.970000,0.066985,2026-02-16T06:21:18.863903+00:00
2000-08-01,8.027500,4.100000,141.540000,0.064691,2026-02-16T06:21:18.863903+00:00
2000-09-01,7.912000,3.900000,142.380000,0.067877,2026-02-16T06:21:18.863903+00:00
2000-10-01,7.795000,3.900000,143.190000,0.067785,2026-02-16T06:21:18.863903+00:00
2000-11-01,7.745000,3.900000,144.060000,0.069885,2026-02-16T06:21:18.863903+00:00
2000-12-01,7.382000,3.900000,144.940000,0.071091,2026-02-16T06:21:18.863903+00:00
2001-01-01,7.032500,4.200000,145.860000,0.065449,2026-02-16T06:21:18.863903+00:00
2001-02-01,7.050000,4.200000,146.850000,0.073779,2026-02-16T06:21:18.863903+00:00
2001-03-01,6.952000,4.300000,147.620000,0.071418,2026-02-16T06:21:18.863903+00:00
2001-04-01,7.077500,4.400000,148.480000,0.070203,2026-02-16T06:21:18.863903+00:00
2001-05-01,7.145000,4.300000,149.110000,0.070500,2026-02-16T06:21:18.863903+00:00
2001-06-01,7.160000,4.500000,149.840000,0.068454,2026-02-16T06:21:18.863903+00:00
2001-07-01,7.127500,4.600000,150.660000,0.068738,2026-02-16T06:21:18.863903+00:00
2001-08-01,6.950000,4.900000,151.400000,0.069662,2026-02-16T06:21:18.863903+00:00
2001-09-01,6.817500,5.000000,152.220000,0.069111,2026-02-16T06:21:18.863903+00:00
2001-10-01,6.617500,5.300000,153.120000,0.069348,2026-02-16T06:21:18.863903+00:00
2001-11-01,6.658000,5.500000,153.640000,0.066500,2026-02-16T06:21:18.863903+00:00
2001-12-01,7.065000,5.700000,154.590000,0.066579,2026-02-16T06:21:18.863903+00:00
2002-01-01,6.997500,5.700000,155.450000,0.065748,2026-02-16T06:21:18.863903+00:00
2002-02-01,6.892500,5.700000,156.380000,0.064896,2026-02-16T06:21:18.863903+00:00
2002-03-01,7.014000,5.700000,157.340000,0.065845,2026-02-16T06:21:18.863903+00:00
2002-04-01,6.985000,5.900000,158.200000,0.065463,2026-02-16T06:21:18.863903+00:00
2002-05-01,6.806000,5.800000,159.260000,0.068071,2026-02-16T06:21:18.863903+00:00
2002-06-01,6.650000,5.800000,160.240000,0.069407,2026-02-16T06:21:18.863903+00:00
2002-07-01,6.485000,5.800000,161.280000,0.070490,2026-02-16T06:21:18.863903+00:00
2002-08-01,6.290000,5.700000,162.290000,0.071929,2026-02-16T06:21:18.863903+00:00
2002-09-01,6.092500,5.700000,163.280000,0.072658,2026-02-16T06:21:18.863903+00:00
2002-10-01,6.112500,5.700000,164.470000,0.074125,2026-02-16T06:21:18.863903+00:00
2002-11-01,6.068000,5.900000,165.390000,0.076477,2026-02-16T06:21:18.863903+00:00
